COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
limpieza y mano de obra iphone 6 a xs max,NO TIENE DESCUENTO,$15.00,"$22,500.00",,"$45,000.00","$45,000.00",NO,NO
limpieza y mano de obra iphone xr a 13 pro max,NO TIENE DESCUENTO,$20.00,"$30,000.00",,"$45,000.00","$45,000.00",NO,NO
limpieza y mano de iphone 14 a 15 pro max,NO TIENE DESCUENTO,$30.00,"$45,000.00",,"$50,000.00","$50,000.00",NO,NO
software DE IPHONE todos los modelos ,NO TIENE DESCUENTO,$15.00,"$22,500.00",,"$45,000.00","$45,000.00",NO,NO
revision de mac,MAC,$15.00,"$22,500.00",,"$25,000.00","$25,000.00",NO,NO
pestaña para hacer prsupuestos,,$120.00,"$180,000.00","$288,000.00","$328,000.00","$350,000.00","$455,000.00","$525,000.00"
"Cambio de bateria Mac (no aplica para 16"")",MAC,$110.00,"$165,000.00","$264,000.00","$304,000.00","$304,000.00","$395,200.00","$456,000.00"
LIMPIEZAS DE MAC ,MAC,$30.00,"$45,000.00","$72,000.00","$112,000.00","$112,000.00","$145,600.00","$168,000.00"
Cambios de LCD para varios modelos CONSULTAR SIEMPRE ANTES DE PASAR ,MAC,$250.00,"$375,000.00","$600,000.00","$640,000.00","$685,000.00","$890,500.00","$1,027,500.00"
Reparacion de flex de imagen mac,MAC,$80.00,"$120,000.00","$192,000.00","$232,000.00","$250,000.00","$325,000.00","$375,000.00"
Cambio de Modulo iphone 6 blanco,CAMBIO DE PANTALLA,$17.00,"$25,500.00","$40,800.00","$80,800.00","$80,800.00","$105,040.00","$121,200.00"
Cambio de Modulo iphone 6 negro,CAMBIO DE PANTALLA,$17.00,"$25,500.00","$40,800.00","$80,800.00","$80,800.00","$105,040.00","$121,200.00"
Cambio de Modulo iphone 6s blanco,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 6s negro,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 6 plus blanco,CAMBIO DE PANTALLA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Modulo iphone 6 plus negro,CAMBIO DE PANTALLA,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Modulo iphone 6s plus blanco,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone 6s plus negro,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone 7 blanco,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 7 negro,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 7 plus blanco,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone 7 plus negro,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone 8 blanco,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 8/SE2/SE3 negro,CAMBIO DE PANTALLA,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Modulo iphone 8 plus blanco,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone 8 plus negro,CAMBIO DE PANTALLA,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de Modulo iphone x,CAMBIO DE PANTALLA,$29.00,"$43,500.00","$69,600.00","$109,600.00","$109,600.00","$142,480.00","$164,400.00"
Cambio de Modulo iphone xs,CAMBIO DE PANTALLA,$29.00,"$43,500.00","$69,600.00","$109,600.00","$109,600.00","$142,480.00","$164,400.00"
Cambio de Modulo iphone xs max,CAMBIO DE PANTALLA,$29.00,"$43,500.00","$69,600.00","$109,600.00","$109,600.00","$142,480.00","$164,400.00"
Cambio de Modulo iphone Xr,CAMBIO DE PANTALLA,$29.00,"$43,500.00","$69,600.00","$109,600.00","$109,600.00","$142,480.00","$164,400.00"
Cambio de Modulo iphone 11,CAMBIO DE PANTALLA,$30.00,"$45,000.00","$72,000.00","$112,000.00","$112,000.00","$145,600.00","$168,000.00"
Cambio de Modulo iphone 11 pro,CAMBIO DE PANTALLA,$31.00,"$46,500.00","$74,400.00","$114,400.00","$114,500.00","$148,850.00","$171,750.00"
