,,,,,,
			                                                                                                                 																				                                                   ,,,,REPUESTOS ORIGINALES,REPUESTOS AMPSENTRIX,
GARANTIAS Y FORMA DE PAGO,,,,👉🏻 CONSULTAS 📲👩🏻‍💻,@MICROSMARTAR,
,,,,,,
REPARACION,TRANSFERENCIA ,EFECTIVO,,REPARACION,TRANSFERENCIA,EFECTIVO
REPROGRAMACION DE TRUE TONE TODOS,"$22,000.00","$20,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 11 ,"$22,000.00","$20,000.00"
REPROGRAMACIONES BATERIA  TODOS,"$8,800.00","$8,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 12,"$22,000.00","$20,000.00"
SOFTWARE TODOS LOS MODELOS TODOS,"$8,800.00","$8,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 13,"$27,500.00","$25,000.00"
REVISIONES DE MAC TODAS,"$27,500.00","$25,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 14,"$33,000.00","$30,000.00"
CAMBIO DE PERIFERICOS IPAD TODAS,"$33,000.00","$30,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 15,"$44,000.00","$40,000.00"
REVISIONES IPAD Y IPAD TODOS,"$22,000.00","$20,000.00",,TRASPLANTE DE IC DE PANTALLA SERIE 16/17,"$55,000.00","$50,000.00"
LIMPIEZAS TODOS,"$11,000.00","$10,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE X/11 ,"$22,000.00","$20,000.00"
MANO DE OBRA Y REVISION DE IPHONE  8 A 11 PRO MAX ,"$22,000.00","$20,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE 12,"$22,000.00","$20,000.00"
MANO DE OBRA Y REVISION DE IPHONE 12 A 12 PRO MAX ,"$22,000.00","$20,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE 13,"$27,500.00","$25,000.00"
MANO DE OBRA Y REVISION DE IPHONE   13/14/15/14 PLUS/15PLUS,"$22,000.00","$20,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE 14,"$27,500.00","$25,000.00"
MANO DE OBRA Y REVISION DE IPHONE  13 pro / 13 pro max ,"$27,500.00","$25,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE 15,"$27,500.00","$25,000.00"
MANO DE OBRA Y REVISION DE IPHONE  14 pro/ 14 pro max ,"$27,500.00","$25,000.00",,TRASPLANTE DE FLEX DE BATERIA SERIE 16 ,"$38,500.00","$35,000.00"
MANO DE OBRA Y REVISION DE IPHONE  15 pro / 15 pro max ,"$33,000.00","$30,000.00",,TRASPLANTE DE YOGUI SERIE X,"$22,000.00","$20,000.00"
MANO DE OBRA Y REVISION  DE IPHONE  SERIE 16 /17,"$38,500.00","$35,000.00",,TRASPLANTE DE YOGUI SERIE 11,"$22,000.00","$20,000.00"
MANO DE OBRA CAMBIO CAMARA SELFI  IPHONE X A 11 PRO MAX ,"$33,000.00","$30,000.00",,TRASPLANTE DE YOGUI SERIE 12,"$22,000.00","$20,000.00"
MANO DE OBRA CAMBIO CAMARA SELFI 12 A 12 PRO MAX ,"$33,000.00","$30,000.00",,,,
MANO DE OBRA CAMBIO CAMARA SELFI 13/14/15/14 PLUS/15PLUS,"$33,000.00","$30,000.00",,CAMBIO DE VIDRIO TRASERO (TAPA INCLUIDA),TRANSFERENCIA ,EFECTIVO
MANO DE OBRA CAMBIO CAMARA SELFI13 pro / 13 pro max ,"$38,500.00","$35,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 8,"$31,350.00","$28,500.00"
MANO DE OBRA CAMBIO CAMARA SELFI  14 pro/ 14 pro max ,"$38,500.00","$35,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 8 PLUS ,"$32,890.00","$29,900.00"
MANO DE OBRA CAMBIO CAMARA SELFI 15 pro / 15 pro max ,"$44,000.00","$40,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE X,"$32,890.00","$29,900.00"
MANO DE OBRA CAMBIO CAMARA SELFI  SERIE 16 /17,"$49,500.00","$45,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE XS,"$31,350.00","$28,500.00"
CAMBIO DE CHASIS IPHONE 7/8 7 plus/ 8 plus / SE 2-3,"$38,500.00","$35,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE XS MAX,"$32,890.00","$29,900.00"
CAMBIO DE CHASIS IPHONE X/XS/XR/XS MAX,"$33,000.00","$30,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE XR,"$31,350.00","$28,500.00"
CAMBIO DE CHASIS IPHONE 11/11 PRO/ 11 PRO MAX,"$33,000.00","$30,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE SE2/SE3,"$32,890.00","$29,900.00"
CAMBIO DE CHASIS IPHONE 12 MINI/12/12PRO/12PM,"$38,500.00","$35,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 11,"$32,890.00","$29,900.00"
CAMBIO DE CHASIS IPHONE 13 MINI/13,"$38,500.00","$35,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 11 PRO ,"$37,950.00","$34,500.00"
CAMBIO DE CHASIS IPHONE 13 PRO/ 13 PRO MAX,"$44,000.00","$40,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 11 PRO MAX ,"$39,600.00","$36,000.00"
CAMBIO DE CHASIS IPHONE 15 / 14,"$44,000.00","$40,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 12 MINI ,"$32,890.00","$29,900.00"
CAMBIO DE CHASIS IPHONE 14 PRO/ 14 PRO MAX,"$49,500.00","$45,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 12,"$32,890.00","$29,900.00"
CAMBIO DE CHASIS IPHONE 15 PLUS/ 14 PLUS ,"$49,500.00","$45,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 12 PRO ,"$38,500.00","$35,000.00"
CAMBIO DE CHASIS IPHONE 15 PRO / 15 PRO MAX,"$55,000.00","$50,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 12 PRO MAX,"$40,150.00","$36,500.00"
CAMBIO DE CHASIS IPHONE SERIE 16,"$55,000.00","$50,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 13 MINI ,"$32,890.00","$29,900.00"
CAMBIO DE VIDRIO DE CAMARA SERIE X,"$11,000.00","$10,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 13,"$36,300.00","$33,000.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 11,"$11,000.00","$10,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 13 PRO ,"$40,150.00","$36,500.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 12,"$11,000.00","$10,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 13 PRO MAX,"$43,780.00","$39,800.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 13,"$16,500.00","$15,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 14,"$49,500.00","$45,000.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 14,"$16,500.00","$15,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 14 PLUS ,"$49,500.00","$45,000.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 15,"$16,500.00","$15,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 14 PRO ,"$43,780.00","$39,800.00"
CAMBIO DE VIDRIO DE CAMARA SERIE 16," $22,000.00"," $20,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE 14 PRO MAX ,"$43,780.00","$39,800.00"
CAMBIO DE BATERIA APPLE WATCH SERIE 1/2,"$27,500.00","$25,000.00",,CAMBIO DE VIDRIO TRASERO IPHONE CON CHAPAS 15,"$62,480.00","$56,800.00"
